Jornada,Fecha,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha
1,14 Ago 2222:00Finalizado,-1,19,0,1,0,-1,0
2,22 Ago 2222:00Finalizado,-4,22,-3,1,0,-4,0
3,27 Ago 2219:30Finalizado,2,14,5,0,0,4,0
4,04 Sep 2216:15Finalizado,-1,18,1,0,0,0,3
5,11 Sep 2221:00Finalizado,-1,21,-2,1,0,-3,3
6,19 Sep 2221:00Finalizado,-2,21,-2,1,0,-3,3
