Username,Date,Content
@SantiSi10817263,Sep 21,"Replying to 
@jsilvinor
El plan del oviedo de Calleja,es no tener plan......
¬ROT 🔴⚪️🏴‍☠️"
@AntiROT,Sep 21,"Puntazo a domicilio y más crédito para Calleja ante un Eldense superior.

Importante atraco arbitral a los locales, a los que les quitaron dos puntos mientras le regalaban otro al Oviedo. ¿Volverán a lo de hace dos y tres temporadas?
Álvaro"
@alvaro__om,Sep 21,"Este Oviedo necesita a Colombatto de director de orquesta, no de llegador con Sibo en la salida.
La temporada y el puesto de Calleja dependerá de lo que tarde en verlo el mister.

Quitando eso, no me parece una situación para el drama que leo en tuiter
Edu Garcia"
@edugarcia8,Sep 21,"Este Real Oviedo sigue sin  jugar a nada, lleva seis partidos que cuidado...Calleja esta perdidisimo,
y hay equipo para jugar a lo que queramos.  La versión mas mediocre de cualquiera es mejor que Hassan, no puede hacer mas meritos para irse al banquillo.
Pablo Fernández"
@PabloFR_,Sep 21,"Esto dijo Calleja en su primer día. 2 meses y medio de trabajo después alguien ha visto al Oviedo que dijo que quería? Porque yo no veo ni siquiera que el equipo busque esto aunque luego no le salgan bien las cosas.


Nuevo Carlos Tartiere"
@NCarlosTartiere,Sep 21,"El Oviedo de Calleja sigue sin jugar nada en un partido al que al arbitro, que debuta en la categoría este año le ha quedado muy muy grande el partido y ha tenido varios errores graves.
Oskar Prado"
@Osky_VII,Sep 21,"Calleja fuera ya 
@RealOviedo
  no jugamos a nada , todos los equipos que se enfrentan al Oviedo compiten, mejor y con las ideas más claras
Cedido por el grupo 🇺🇾"
@lockedcensurado,Sep 21,"Replying to 
@OviedoBold
 and 
@RealOviedo
A mi me la pela quien sea el entrenador pero reírse de la cantera entrenando al Real Oviedo debería ser de despido inmediato. Por lo demás poca culpa le echo a Calleja
Овьедо"
@OviedoBor,Sep 21,"Replying to 
@RealOviedo
Van pasando las jornadas y la imagen sigue siendo lamentable. Calleja fuera ya!!
Liga HyperMotion Real Oviedo"
@HyperMotionRO,Sep 21,"Replying to 
@RealOviedo
Si echáis a Calleja ya, el equipo no va a jugar peor. Pensadlo
Enrique Moreno"
@AbatiMoreno,Sep 21,"Horrible real Oviedo,hasta cuando vamos a seguir con Calleja?
#RealOviedo
OviedoBrutalismFC"
@OviedoBrutalism,Sep 21,"Replying to 
@RealOviedo
Pediréis la cabeza de Calleja pero estos cabrones son unos vagos de cuidao, Moyano, Lemos, Colombatto y Calvo no están pa jugar… el problema es que los que les sustituyen igual tampoco… que puto desastre de segunda parte
Jorge RH"
@RodryOviedo,Sep 21,"Replying to 
@RealOviedo
Echad a Calleja, por favor… Aun estamos a tiempo…
Victor rocf"
@Vitorin_Oviedo,Sep 21,"Replying to 
@RealOviedo
Cesen a Calleja de una vez
Jorge RH"
@RodryOviedo,Sep 21,"Calleja vete ya!! Fuera!!
Ozzman"
@Coverdale_79,Sep 21,"Vaya sopor que es ver a este Oviedo de Calleja. 
Igual que lo era el Levante el pasado año o el Alavés el anterior.
Inexplicable que se eligiese un perfil tan distinto al que funcionó el pasado año.
paraschivismo"
@crouchjunr,Sep 21,"Yo no entiendo como ni dios del oviedo se come al árbitro. Sin sangre todos me cago en la puta de oros y calleja más de lo mismo. Viudo de locura gonzalez
Victor rocf"
@Vitorin_Oviedo,Sep 21,"Replying to 
@RealOviedo
Si cesais a Calleja está noche, seguro que muchos Oviedistas os hacemos bizun para pagar su despido.
Barça Glories"
@FCBGlories,Sep 21,"El problema del Oviedo tiene nombre y se llama Javi Calleja
A."
@Fumatelou,Sep 21,"Replying to 
@odiamongoles
Ganad , que al Malaga Oviedo llegue vivo Calleja , que sea histórico
Killer Asturias"
@killer_asturias,Sep 21,"🔵 Calleja le da descanso a Cazorla

⚔️ Este es el once del Real Oviedo ante el Eldense"
