Jornada,Fecha,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha
1,14 Ago 2321:30Finalizado,-1,18,1,0,0,-10,0
2,20 Ago 2317:00Finalizado,0,18,1,0,0,-10,0
3,26 Ago 2317:00Finalizado,-1,21,-2,1,0,-13,1
4,02 Sep 2318:30Finalizado,0,22,-3,1,0,-14,1
5,09 Sep 2318:30Finalizado,0,19,0,1,0,-11,2
6,18 Sep 2321:00Finalizado,-1,21,-2,1,0,-13,3
