Jornada,Fecha,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha
1,15 Ago 2119:30Finalizado,0,9,10,0,0,4,0
2,20 Ago 2122:00Finalizado,-1,15,4,0,0,-2,1
3,28 Ago 2119:30Finalizado,0,17,2,0,0,-4,1
4,06 Sep 2121:00Finalizado,1,12,7,0,0,1,2
5,12 Sep 2114:00Finalizado,2,5,14,0,1,8,5
6,18 Sep 2116:00Finalizado,0,7,12,0,0,6,7
7,26 Sep 2118:15Finalizado,0,8,11,0,0,5,8
8,02 Oct 2118:15Finalizado,0,7,12,0,0,6,8
9,09 Oct 2121:00Finalizado,0,8,11,0,0,5,6
