Partido,Sentimiento Global,Porcentaje positivos,Porcentaje neutros,Porcentaje negativos,Numero de Tweets,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha,Despedido
13 Aug,0.0,0.0,100.0,0.0,3,-1,16,3,0,0,-7,0,0
18 Aug,-0.21955,0.0,50.0,50.0,6,-1,20,-1,1,0,-11,0,0
25 Aug,-0.1726,12.5,37.5,50.0,8,-1,22,-3,1,0,-13,0,0
02 Sep,-0.13176666666666667,0.0,83.33333333333334,16.666666666666664,6,1,17,2,0,0,-8,0,0
10 Sep,-0.08303333333333333,16.666666666666664,50.0,33.33333333333333,6,-2,20,-1,1,0,-11,3,0
16 Sep,-0.022769230769230767,0.0,92.3076923076923,7.6923076923076925,13,-1,22,-3,1,0,-13,3,0
22 Sep,-0.017457142857142855,0.0,92.85714285714286,7.142857142857142,14,-1,22,-3,1,0,-13,3,0
