Jornada,Fecha,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha
1,13 Ago 2319:30Finalizado,-1,16,3,0,0,-7,0
2,18 Ago 2319:00Finalizado,-1,20,-1,1,0,-11,0
3,25 Ago 2321:30Finalizado,-1,22,-3,1,0,-13,0
4,02 Sep 2321:00Finalizado,1,17,2,0,0,-8,0
5,10 Sep 2318:30Finalizado,-2,20,-1,1,0,-11,3
6,16 Sep 2318:30Finalizado,-1,22,-3,1,0,-13,3
7,22 Sep 2321:00Finalizado,-1,22,-3,1,0,-13,3
