Partido,Sentimiento Global,Porcentaje positivos,Porcentaje neutros,Porcentaje negativos,Numero de Tweets,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha,Despedido
12 Aug,-0.21218846153846155,0.0,50.0,50.0,26,0,12,7,0,0,-10,0,0
20 Aug,-0.20658709677419354,6.451612903225806,38.70967741935484,54.83870967741935,31,0,13,6,0,0,-11,1,0
27 Aug,0.03763461538461539,19.230769230769234,73.07692307692307,7.6923076923076925,26,2,10,9,0,0,-8,2,0
05 Sep,-0.15475142857142857,2.857142857142857,65.71428571428571,31.428571428571427,35,0,11,8,0,0,-9,5,0
10 Sep,0.0,0.0,100.0,0.0,1,3,5,14,0,1,-3,6,0
16 Sep,-0.1982145833333333,14.583333333333334,33.33333333333333,52.083333333333336,48,-1,10,9,0,0,-8,8,0
25 Sep,-0.2572931034482759,0.0,44.827586206896555,55.172413793103445,29,0,11,8,0,0,-9,7,0
01 Oct,-0.18054285714285714,1.7857142857142856,53.57142857142857,44.642857142857146,56,-2,12,7,0,0,-10,5,0
09 Oct,-0.23659571428571433,1.4285714285714286,48.57142857142857,50.0,70,-1,14,5,0,0,-12,4,0
