Partido,Sentimiento Global,Numero de Tweets
13 Aug,-0.006136842105263154,19
20 Aug,-0.18315416666666665,24
27 Aug,-0.08273,20
03 Sep,-0.05628695652173913,23
10 Sep,-0.08863333333333333,15
17 Sep,-0.07708823529411765,17
24 Sep,-0.18418,5
01 Oct,-0.18736285714285714,35
04 Oct,-0.15385999999999997,60
