Jornada,Fecha,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha
1,15 Ago 2217:30Finalizado,-1,20,-1,1,0,-13,0
2,21 Ago 2217:30Finalizado,1,11,8,0,0,-4,0
3,28 Ago 2217:30Finalizado,1,8,11,0,0,-1,3
4,05 Sep 2221:00Finalizado,0,10,9,0,0,-3,6
5,10 Sep 2216:15Finalizado,0,10,9,0,0,-3,7
6,17 Sep 2216:15Finalizado,-1,14,5,0,0,-7,8
7,25 Sep 2216:15Finalizado,0,14,5,0,0,-7,5
8,02 Oct 2218:30Finalizado,-2,16,3,0,0,-9,3
9,09 Oct 2216:15Finalizado,0,16,3,0,0,-9,2
