Username,Date,Content,Cleaned_Content
@JoelRuizLosa,"Aug 14, 2023","Qué bien me lo estoy pasando. Me parece que va a molar mucho ver al Mirandés este año. Con Alessio Lisci en el banquillo, con un equipo joven y gente con mucho talento, y en un sitio donde se da pie a  apostar por ese perfil de fútbol y de jugadores. Vaya carta de presentación.
Quote
Club Deportivo Mirandés",qué bien me lo estoy pasando me parece que va a molar mucho ver al mirandés este año con alessio lisci en el banquillo con un equipo joven y gente con mucho talento y en un sitio donde se da pie a apostar por ese perfil de fútbol y de jugadores vaya carta de presentación quote
@CDMirandes,"Aug 14, 2023","73'⏱ | 4️⃣-0️⃣ | #MirandésAlcorcón

GOOOOOOOOOOOOOOOL
GOOOOOOOOOOOOOOOL
CARLOS, CARLOS, CARLOS
MENUDO ESTRENOO ⚽⚽

EL CUARTOOOOOOOOOOO❗
El segundo de @carlos7atm

#LaDécima ❤️🖤 #AúpaMirandés
Show more
Natxoinsisme",mirandésalcorcón goooooooooooooool goooooooooooooool carlos carlos carlos menudo estrenoo el cuartooooooooooo el segundo de ladécima aúpamirandés show more
@alvaroelmarto,"Aug 14, 2023","El Mirandés de don Alessio Lisci
Alberto Algueró",el mirandés de don alessio lisci
@ajalguero,"Aug 14, 2023","Cuatro goles le está metiendo el Mirandés de Lisci al Alcorcón. Equipo joven al que tengo muchas ganas de ver, con un entrenador que ya ha enseñado cositas.
No parece el momento oportuno para recibirlos en El Molinón😅.",cuatro goles le está metiendo el mirandés de lisci al alcorcón equipo joven al que tengo muchas ganas de ver con un entrenador que ya ha enseñado cositas
@lopez9346,"Aug 22, 2023","Alessio Lisci descubre las dos caras del Mirandés       https://mirandes.elcorreo.com/lisci-descubre-dos-caras-mirandes-20230822101222-nt.html?ref=https%3A%2F%2Fmirandes.elcorreo.com%2F#vca=fixed-btn&vso=rrss&vmc=tw&vli=
 vía 
@elcorreo_com
Un Ciudadano Ejemplar",alessio lisci descubre las dos caras del mirandés vía
@Jus71c13ro,"Aug 21, 2023","No veo nada sobre Alessio Lisci esta jornada, que no ha jugado el mirandes? No me alegro, sinceramente ni me va ni me viene, pero la semana pasada vi mucho comentario y esta ninguno.
SOY SPORTINGUISTA",no veo nada sobre alessio lisci esta jornada que no ha jugado el mirandes no me alegro sinceramente ni me va ni me viene pero la semana pasada vi mucho comentario y esta ninguno
@ssportinguista,"Aug 20, 2023","RUEDA DE PRENSA DE ALESSIO LISCI Y DE MIGUEL ANGEL RAMIREZ, ENTRENADOR DEL MIRANDES Y EL SPORTING RESPECTIVAMENTE, ANALIZANDO EL ENCUENTRE ENTRE AMBOS EQUIPOS EN EL MOLINON
https://soysportinguista.com/2023/08/rueda-de-prensa-de-miguel-angel-ramirez_20.html
ASenCyL",rueda de prensa de alessio lisci y de miguel angel ramirez entrenador del mirandes y el sporting respectivamente analizando el encuentre entre ambos equipos en el molinon
@ASenCyL,"Aug 20, 2023","Lisci lamenta la derrota: “Once minutos condicionaron el partido” #ASCyL #Mirandés por 
@GussConde
 
https://as.com/futbol/segunda/alessio-lisci-lamenta-la-derrota-once-minutos-condicionaron-el-partido-n/?ssm=TW_CC
 vía 
@diarioas
Juan Ahuja",lisci lamenta la derrota once minutos condicionaron el partido ascyl mirandés por vía
@juanahuja,"Aug 20, 2023","Lisci, entrenador del Mirandés: “El Sporting está llamado a luchar por el Playoff”
Tribunadeorriols",lisci entrenador del mirandés el sporting está llamado a luchar por el playoff
@Tribunadeorrio1,"Aug 20, 2023","Hoy no he leído mensajes sobre el Mirandés de Múnich, este finde no los entrenaba Lisci?
Alex Ariño",hoy no he leído mensajes sobre el mirandés de múnich este finde no los entrenaba lisci
