Jornada,Fecha,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha
1,12 Ago 2221:00Finalizado,0,12,7,0,0,-10,0
2,20 Ago 2219:30Finalizado,0,13,6,0,0,-11,1
3,27 Ago 2222:00Finalizado,2,10,9,0,0,-8,2
4,05 Sep 2221:00Finalizado,0,11,8,0,0,-9,5
5,10 Sep 2221:00Finalizado,3,5,14,0,1,-3,6
6,16 Sep 2221:00Finalizado,-1,10,9,0,0,-8,8
7,25 Sep 2214:00Finalizado,0,11,8,0,0,-9,7
8,01 Oct 2218:30Finalizado,-2,12,7,0,0,-10,5
9,09 Oct 2218:30Finalizado,-1,14,5,0,0,-12,4
