Partido,Sentimiento Global,Numero de Tweets
14 Aug,0.0014750000000000013,20
20 Aug,-0.17004285714285713,7
27 Aug,0.0,2
03 Sep,-0.042624999999999996,4
10 Sep,0.007566666666666666,12
17 Sep,-0.12583333333333332,3
24 Sep,-0.008283333333333318,6
01 Oct,0.1737111111111111,9
05 Oct,-0.27645000000000003,6
08 Oct,-0.17068,5
