Partido,Sentimiento Global,Porcentaje positivos,Porcentaje neutros,Porcentaje negativos,Numero de Tweets,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha,Despedido
14 Aug,-0.19669911504424775,4.424778761061947,43.36283185840708,52.21238938053098,113,-1,19,0,1,0,-1,0,0
22 Aug,-0.18492499999999998,9.01639344262295,40.57377049180328,50.409836065573764,244,-4,22,-3,1,0,-4,0,0
27 Aug,-0.04026883116883116,12.987012987012985,61.038961038961034,25.97402597402597,77,2,14,5,0,0,4,0,0
04 Sep,-0.16903208955223878,3.731343283582089,55.223880597014926,41.04477611940299,268,-1,18,1,0,0,0,3,0
11 Sep,-0.16799117647058823,4.411764705882353,52.94117647058824,42.64705882352941,272,-1,21,-2,1,0,-3,3,0
19 Sep,-0.17654174757281552,5.501618122977346,51.45631067961165,43.042071197411005,309,-2,21,-2,1,0,-3,3,0
