Partido,Sentimiento Global,Porcentaje positivos,Porcentaje neutros,Porcentaje negativos,Numero de Tweets,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha,Despedido
14 Aug,-0.14685081967213112,6.557377049180328,54.09836065573771,39.34426229508197,61,-1,18,1,0,0,-10,0,0
20 Aug,-0.1927730769230769,2.564102564102564,51.28205128205128,46.15384615384615,78,0,18,1,0,0,-10,0,0
26 Aug,-0.21532621359223295,0.9708737864077669,48.54368932038835,50.48543689320388,103,-1,21,-2,1,0,-13,1,0
02 Sep,-0.161078431372549,5.88235294117647,50.98039215686274,43.13725490196079,51,0,22,-3,1,0,-14,1,0
09 Sep,-0.17805058823529407,5.88235294117647,45.88235294117647,48.23529411764706,85,0,19,0,1,0,-11,2,0
18 Sep,-0.1558137254901961,5.88235294117647,54.57516339869281,39.54248366013072,306,-1,21,-2,1,0,-13,3,0
