Username,Date,Content,Cleaned_Content
@MarioJimenezB_,"Sep 9, 2023","El Burgos ha hecho un buen partido, especialmente en el 2T, pero me soprende lo mal que está la SD Eibar. Plano, sin ideas con balón, muy previsible, sin ritmo, incapaz de generar… Desesperado el equipo de Etxeberria.
E.dunberri",el burgos ha hecho un buen partido especialmente en el t pero me soprende lo mal que está la sd eibar plano sin ideas con balón muy previsible sin ritmo incapaz de generar desesperado el equipo de etxeberria
@E_dunberri,"Sep 9, 2023","Otra derrota del Eibar. Este club, que yo recuerde, siempre se ha caracterizado por dar confianza y tiempo a los entrenadores. Me da que  Etxeberria no va a durar mucho
Corazón De León",otra derrota del eibar este club que yo recuerde siempre se ha caracterizado por dar confianza y tiempo a los entrenadores me da que etxeberria no va a durar mucho
@Zurigorri_leon,"Sep 9, 2023","Un saludo a Joseba Etxeberria, que estando en el Bilbao Ath. se marchó dando un portazo porque pensaba que tenía que entrenar al primer equipo ""por el articulo 33"". 
Tiene al Eibar penúltimo en segunda tras perder 4 de los primeros 5 partidos.
💢Cos💢",un saludo a joseba etxeberria que estando en el bilbao ath se marchó dando un portazo porque pensaba que tenía que entrenar al primer equipo por el articulo tiene al eibar penúltimo en segunda tras perder de los primeros partidos
@davidgomezdecos,"Sep 9, 2023","Estará Etxeberria en la cuerda floja en la jornada 5? Qué mala pinta el Eibar...
Revulsivo 1931",estará etxeberria en la cuerda floja en la jornada qué mala pinta el eibar
@revulsivo_1931,"Sep 9, 2023","No termina de arrancar el Eibar que se coloca en puestos de descenso. Ojo con Joseba Etxebarría que podría ser el primer entrenador destituido. 📉👀
Fernando Gómez",no termina de arrancar el eibar que se coloca en puestos de descenso ojo con joseba etxebarría que podría ser el primer entrenador destituido
@FGomezJE,"Sep 9, 2023","Mimbres tiene de sobra, pero el inicio de temporada del Eibar deja muchas dudas. Una victoria y cuatro derrotas, tres de ellas consecutivas. La contundencia en las áreas es el gran debe del equipo de Joseba Etxeberri


Comandante rojillo",mimbres tiene de sobra pero el inicio de temporada del eibar deja muchas dudas una victoria y cuatro derrotas tres de ellas consecutivas la contundencia en las áreas es el gran debe del equipo de joseba etxeberri
@Comanrojillo,"Sep 9, 2023","Joseba Etxeberría no se como el turrón. 

Qué mal comienzo de temporada del Eibar!",joseba etxeberría no se como el turrón
@SDEibar,"Sep 17, 2023","🗣️ Joseba Etxeberria: ""El equipo está muy comprometido y esto nos va a hacer más fuertes"".

#EibarRacingFerrol I #BetiArmaginak
0:08 / 1:53
Eibar Out of Context",joseba etxeberria el equipo está muy comprometido y esto nos va a hacer más fuertes eibarracingferrol i betiarmaginak
@eibaronce,"Sep 17, 2023","Replying to 
@eibaronce
Comienza la temporada y el Eibar visitaba El Sardinero. 

Desplazamiento cercano, debut de Etxeberria, jugadores nuevos con hambre y partido complicado aunque accesible. ¿Resultado? 

4-0 y al bus 🚌
Eibar Out of Context",comienza la temporada y el eibar visitaba el sardinero desplazamiento cercano debut de etxeberria jugadores nuevos con hambre y partido complicado aunque accesible resultado y al bus
@eibaronce,"Sep 17, 2023","Replying to 
@eibaronce
“El Gallo” Joseba Etxeberria iba a ser el encargado de tener que hacer magia y remontar este equipo irreconocible, triste, sin delanteros, con un coladero de defensa y un Luca Zidane cada vez más cuestionado.

No se, no se… 

PD: ya no queda casi dinero en las arcas 💸
Alejandro",el gallo joseba etxeberria iba a ser el encargado de tener que hacer magia y remontar este equipo irreconocible triste sin delanteros con un coladero de defensa y un luca zidane cada vez más cuestionado no se no se pd ya no queda casi dinero en las arcas
