Jornada,Fecha,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha
1,17 Ago 2419:00Finalizado,1,9,10,0,0,-3,0
2,25 Ago 2421:30Finalizado,0,10,9,0,0,-4,3
3,30 Ago 2421:30Finalizado,-2,13,6,0,0,-7,4
4,07 Sep 2418:30Finalizado,-2,17,2,0,0,-11,4
5,15 Sep 2416:15Finalizado,1,11,8,0,0,-5,4
6,21 Sep 2418:30Finalizado,0,12,7,0,0,-6,4
