Partido,Sentimiento Global,Porcentaje positivos,Porcentaje neutros,Porcentaje negativos,Numero de Tweets,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha,Despedido
15 Aug,-0.11304342105263156,3.9473684210526314,67.10526315789474,28.947368421052634,76,-1,20,-1,1,0,-13,0,0
21 Aug,-0.019360000000000002,12.0,68.0,20.0,50,1,11,8,0,0,-4,0,0
28 Aug,-0.0827195652173913,2.1739130434782608,69.56521739130434,28.26086956521739,46,1,8,11,0,0,-1,3,0
05 Sep,-0.05050769230769231,15.384615384615385,61.53846153846154,23.076923076923077,39,0,10,9,0,0,-3,6,0
10 Sep,-0.1573064516129032,9.67741935483871,41.935483870967744,48.38709677419355,31,0,10,9,0,0,-3,7,0
17 Sep,-0.18064545454545453,1.5151515151515151,51.515151515151516,46.96969696969697,66,-1,14,5,0,0,-7,8,0
25 Sep,-0.2202639175257732,2.0618556701030926,44.329896907216494,53.608247422680414,97,0,14,5,0,0,-7,5,0
02 Oct,-0.18385668449197864,3.2085561497326207,48.1283422459893,48.663101604278076,187,-2,16,3,0,0,-9,3,0
09 Oct,-0.19556470588235292,7.8431372549019605,45.09803921568628,47.05882352941176,51,0,16,3,0,0,-9,2,0
