Username,Date,Content
@Levante_Al_Dia_,"Sep 19, 2023","Replying to 
@Levante_Al_Dia_
 and 
@Josemallorquin9
Pues claro que existen tropiezos, no se iban a ganar todos. Pero es que Calleja tropezó menos que Alavés, que Las Palmas, que Eibar... Y eso no se recuerda. Y me hace gracia que, de Ibiza y Tenerife, se hable de Calleja y no de los jugadores.
Tampoco se recuerdan las lesiones.
Levante Al Día 🇱🇮"
@Levante_Al_Dia_,"Sep 19, 2023","Replying to 
@Josemallorquin9
Pero si es que de más de 30 partidos que ha estado Calleja siempre mencionáis Ibiza y Tenerife. Como si Las Palmas, Eibar, Alavés... no hubieran fallado más que el Levante. Con Calleja desde que llegó el Levante era líder con 6 puntos de ventaja del tercero.
JOSEMALLOR🚨"
@Josemallorquin9,"Sep 19, 2023","Replying to 
@Levante_Al_Dia_
Más que la mano de Rober Pier que al final es una acción de mala suerte (aunque a día de hoy sigo pensando que no fue penalti) , yo achacaria el no subir a algún cagazo de Calleja como en el partido  contra el Ibiza etc etc
Up The Irons!!"
@miguelrockon1,"Sep 18, 2023","Replying to 
@meterfalen
 
@adriaibarra711
 and 2 others
No entiendo el porqué se sigue rajando de él después de 2 años que se fue. No gusta Paco, no gusta Lisci, no gusta Calleja... a la afición del Levante no le gusta ningún entrenador...
La Liga Data"
@LaLigaData123,"Sep 18, 2023","Alcorcón 0-2 Levante UD
La Liga Hypermotion J6 (2a div)
Final en Santo Domingo, victoria merecida del equipo de Javier Calleja.
⚽ Oriol Rey (36') 0-1.
⚽ Brugué (80') 0-2.
El Alcor no pudo revertir el juego del equipo levantino.
🟥 Javi Castro (29') (ALC)
Karancita✌🏽"
@karancita,"Sep 18, 2023","Replying to 
@Levante_Al_Dia_
 
@Noirberlin
 and 
@EnisElBardo
nano, si sigues así, me voy a tatuar la cara de Calleja en el culo 😉😉 . Cada tweet que veo de este hilo, va mejorando. 😂😂 Que entiendo lo que dices eh ¡¡ pero es (de normal) muy aburrido
Levante Al Día 🇱🇮"
@Levante_Al_Dia_,"Sep 18, 2023","Replying to 
@Noirberlin
 and 
@EnisElBardo
Perdió contra el ibiza, el tenerife... pero siempre se dicen los mismos 2-3 partidos de los 34 que estuvo. Y contra quien perdió las palmas? el alavés? el eibar? Desde que Calleja entró fue 1º sobre 6 puntos del 3º. No me vale sacarles derrotas porque los demás fallaron más aún
ი.ვ.ა.ნ.ე. 🇬🇪🧢"
@_hansstrrs,"Sep 18, 2023","Replying to 
@Levante_Al_Dia_
lo de que para lo que hay por ahí prefiero a calleja casi que también te lo firmo
Granota Futebol"
@GranotaFootball,"Sep 18, 2023","Replying to 
@EnisElBardo
 and 
@Levante_Al_Dia_
De Paco se echaba de menos que fuera como Calleja cuando íbamos 3-0/2-0 a falta de 25 minutos. Nada que ver...
Levante Al Día 🇱🇮"
@Levante_Al_Dia_,"Sep 18, 2023","Que se le siga criticando tanto a Calleja incluso tras ganar y estando 5° confirma lo que pienso. Se está siendo muy injusto con él.
El 2° tiempo fue perfecto: No se trata de buscar el 2° gol como pollo sin cabeza, se trata de tener tus ocasiones pero sin permitir al rival nada.


Capitanes de nada"
@quicolismo,"Sep 17, 2023","Aficionado Medio del Levante:

Perdemos: vaya mierda de equipo, Calleja dimisión, no vamos a subir.

Ganamos: somos unos amos, ascenso directo si jugamos así. Calleja pirate.
Levante Unión Depresiva (el/javi)"
@eljavigranota,"Sep 17, 2023","Calleja tendrá la misma cláusula de la temporada pasada de que si llegamos a play offs se le renueva automático?
Joserra"
@Joserra_00,"Sep 16, 2023","Muy buen Levante, pero ha faltado más claridad para finalizar. Defensivamente has estado bien y cerrando bien las transiciones. Mejora notable después del partido del viernes pasado y Calleja creo que ha acertado con el planteamiento.p
Quote
Levante UD"
@LevanteUD,"Sep 16, 2023","FINAL |0-2| La segunda a domicilio. La primera en Santo Domingo 🐸

Vaaaaaaaaaaaaaaaaaaaaamos 💪🏻

#AlcorcónLevante 🔛
Levante Unión Depresiva (el/javi)"
@eljavigranota,"Sep 16, 2023","Postigo volviendo de una lesión, con historial de lesiones, ideal que jugase pocos minutos para ir de a poco.

Calleja poniéndole de titular:
ElDesmarque Levante"
@ElDesmarque_LUD,"Sep 16, 2023","Calleja: ""Estoy contentísimo con el partido, ahora a seguir trabajando con humildad y a crecer""


Granota Futebol"
@GranotaFootball,"Sep 16, 2023","Replying to 
@Levante_Al_Dia_
Eres Calleja. A mí no me engañas.
Borja"
@Pepeleu30,"Sep 16, 2023","El Levante de Calleja aburre a las ovejas 🫠
Borja"
@Pepeleu30,"Sep 16, 2023","Calleja no puede seguir siendo entrenador del Levante, lo siento mucho.

Vas ganando y contra 10 y no eres capaz de ir a matar el partido.

Como el año pasado nos pasó factura, la falta de ambición"
