Partido,Sentimiento Global,Numero de Tweets
12 Aug,-0.21218846153846155,26
20 Aug,-0.20658709677419354,31
27 Aug,0.03763461538461539,26
05 Sep,-0.15475142857142857,35
10 Sep,0.0,1
16 Sep,-0.1982145833333333,48
25 Sep,-0.2572931034482759,29
01 Oct,-0.18054285714285714,56
09 Oct,-0.22688142857142857,70
