Partido,Sentimiento Global,Porcentaje positivos,Porcentaje neutros,Porcentaje negativos,Numero de Tweets,Resultado,Posición,Distancia Descenso,En Descenso,En Playoff,Diferencia Posiciones,Racha,Despedido
17 Aug,-0.034823529411764705,0.0,88.23529411764706,11.76470588235294,17,1,9,10,0,0,-3,0,0
25 Aug,-0.18580714285714287,3.571428571428571,50.0,46.42857142857143,28,0,10,9,0,0,-4,3,0
30 Aug,-0.19079666666666667,5.555555555555555,48.888888888888886,45.55555555555556,90,-2,13,6,0,0,-7,4,0
07 Sep,-0.18810547263681593,3.9800995024875623,49.75124378109453,46.26865671641791,201,-2,17,2,0,0,-11,4,0
15 Sep,-0.12415666666666668,8.333333333333332,56.666666666666664,35.0,60,1,11,8,0,0,-5,4,0
21 Sep,-0.12377959183673469,10.204081632653061,51.02040816326531,38.775510204081634,49,0,12,7,0,0,-6,4,0
