Partido,Sentimiento Global,Numero de Tweets
14 Aug,-0.19578584070796456,113
21 Aug,-0.18699086538461535,208
28 Aug,-0.12328181818181817,22
04 Sep,-0.16269402985074627,268
11 Sep,-0.1550095588235294,272
18 Sep,-0.1589612903225806,310
